id	nom	quantite	unite	points	categorie_id	zero_point
256	Sauce bernaise	1	cc	1	15	0
257	Sauce béchamel	3	CS	1	15	0
258	Sauce chili	1	CS	0	15	0
259	Sauce d'huitres	1	CS	0	15	0
260	Sauce hollandaise	2	cc	1	15	0
261	Sauce Mornay	3	CS	1	15	0
262	Sauce pour nem	1	portion	0	15	1
263	Sauce soja	1	portion	0	15	1
264	Sauce tartare	1	cc	1	15	0
265	Sauce tomate cuisinée	3	CS	1	15	0
266	Sauce Worcestershire	1	portion	0	15	0
267	Boison au soja nature	200	ml	2	16	0
268	Crème de soja	1	CS	1	16	0
269	Entremet au soja nature	100	g	1	16	0
270	Entremet au soja chocolat ou vanille	100	g	3	16	0
271	Entremet au soja céréales et fruits	100	g	2	16	0
272	Farine de soja dégraissée	20	g	2	16	0
273	Vermicelles de soja (cru)	30	g	3	16	0
274	Tempeh	80	g	3	16	0
275	Tufo	80	g	2	16	0
276	Tofu soyeux ferme	100	g	2	16	0
277	Seitan	80	g	2	16	0
278	Baguette	50	g	3	17	0
279	Biscotte	10	g	1	17	0
280	Blini (grand)	70	g	3	17	0
281	Blini (petit x 2)	20	g	1	17	0
282	Cracker de table nature (x1)	2	g	1	17	0
283	Croutons nature	20	g	2	17	0
284	Feuille de brick (x1)	15	g	1	17	0
285	Galette de maïs (tortilla) 	1	Pièce	2	17	0
286	Galette de riz soufflé (x1)	8	g	1	17	0
287	Galette de sarrazin (x1)	50	g	2	17	0
288	Gressins natures 	2	Pièce	1	17	0
289	Muffin anglais nature	60	g	4	17	0
290	Pain au son	50	g	3	17	0
291	Pain aux céreales	50	g	4	17	0
292	Pain brioché	20	g	2	17	0
293	Pain complet	50	g	3	17	0
294	Pain de campagne	50	g	4	17	0
295	Pain de mie (1 petite tranche)	20	g	1	17	0
296	Pain pour hamburger (1 petit)	50	g	4	17	0
297	Pain pour hamburger (1 grand)	80	g	6	17	0
298	Pain pitta (x1)	70	g	5	17	0
299	Pain de seigle	50	g	3	17	0
300	Pâte filo (1 feuille)	25	g	2	17	0
301	Pain grillé (1 tranche)	20	g	2	17	0
302	Pain grillé suedois (x1)	20	g	2	17	0
303	Toast brioché (x2)	25	g	3	17	0
304	Amandine, préparation en poudre	3	CS	3	18	0
305	Boisson à base de malt et orge	200	ml	5	18	0
306	Chicorée (poudre) (cc)	1	cc	0	18	0
307	Chicorée (poudre) (CS)	1	CS	1	18	0
308	Café poudre (cc)	1	cc	0	18	0
309	Café poudre (CS)	1	CS	1	18	0
310	Chocolat instantané sucré en poudre	2	cc	1	18	0
311	Préparation maltée sucrée au chocolat	1	CS	1	18	0
312	Préparation pour boisson chocolatée sucrée	1	CS	1	18	0
313	Préparation pour boisson chocolatée à l'aspartam	4	cc	1	18	0
314	Beurre de cacahuetes	2	cc	2	18	0
315	Confiture ou gelée classique ou allegée	2	cc	1	18	0
316	Crème de marrons 	2	cc	1	18	0
317	Miel (cc)	1	cc	1	18	0
318	Miel (CS)	1	CS	2	18	0
319	Pate à tartiner au chocolat 	1	cc	1	18	0
320	Sirop d'érable	1	CS	1	18	0
321	Sucre en poudre (cc)	1	cc	1	18	0
322	Sucre en poudre (CS)	1	CS	2	18	0
323	Beaufort	30	g	3	19	0
324	Brie	30	g	3	19	0
325	Brousse allégée	40	g	1	19	0
326	Brousse	30	g	1	19	0
327	Camembert léger	40	g	2	19	0
328	Camembert	30	g	2	19	0
329	Canccuillotte	30	g	1	19	0
330	Cantal	30	g	3	19	0
331	Carré de l'Est	30	g	3	19	0
332	Cheddar	30	g	3	19	0
333	Comté	30	g	3	19	0
334	Coulommiers	30	g	2	19	0
335	Edam	30	g	3	19	0
336	Emmenthal allégé	30	g	2	19	0
337	Emmenthal	30	g	3	19	0
338	Feta au naturel allégé	30	g	1	19	0
339	Feta au naturel	30	g	2	19	0
340	Fromage bleu	30	g	3	19	0
341	Fromage de chèvre frais	30	g	2	19	0
342	Fromage de chèvre sec	40	g	4	19	0
343	Fromage frais (demi-sel)	1	portion	1	19	0
344	Fromage frais (demi-sel) (g)	25	g	1	19	0
345	Fromage frais 0%	2	portion	1	19	0
346	Fromage frais 0% (g)	50	g	1	19	0
347	Fromage fondu	1	portion	1	19	0
348	Fromage fondu allégé	2	portion	1	19	0
349	Fromage des Pyrénées	30	g	3	19	0
350	Fromage fondu (g)	17	g	1	19	0
351	Gouda	30	g	3	19	0
352	Gruyère et emmenthal allégé	30	g	2	19	0
353	Gruyère et emmenthal	30	g	3	19	0
354	Gruyère et emmenthal râpé (g)	10	g	1	19	0
355	Gruyère et emmenthal râpé	2	cc	1	19	0
356	Livarot	30	g	2	19	0
357	Maroilles	30	g	3	19	0
358	Mascarpone	30	g	3	19	0
359	Mimolette	30	g	3	19	0
360	Morbier	30	g	3	19	0
361	Mozzarella (light)	30	g	1	19	0
362	Mozzarella	30	g	2	19	0
363	Munster	30	g	3	19	0
364	Parmesan râpé (g)	10	g	1	19	0
365	Parmesan râpé	1	CS	1	19	0
366	Parmesan	30	g	3	19	0
367	Pont l'Évêque	30	g	2	19	0
368	Port-Salut	30	g	3	19	0
369	Raclette	30	g	2	19	0
370	Reblochon	30	g	3	19	0
371	Ricotta	30	g	1	19	0
372	Roquefort	30	g	3	19	0
373	Saint-Marcellin	30	g	3	19	0
374	Saint-Nectaire	30	g	3	19	0
375	Saint-Paulin	30	g	2	19	0
376	Tomme de Savoie ou de montagne	30	g	3	19	0
377	Vacherin	30	g	2	19	0
